USER_COUNTRY,NUM_TWEETS,AVG_FOLLOWER_CNT,MAX_FOLLOWER_CNT,AVG_STATUSES_CNT,MAX_STATUSES_CNT,AVG_RETWEET_CNT,MAX_RETWEET_CNT,AVG_FAVORITE_CNT,MAX_FAVORITE_CNT,AVG_FRIEND_CNT,MAX_FRIEND_CNT
ARGENTINA,16,247,396,340,597,47,95,0,0,714,1283
AUSTRALIA,68,7101,55583,2960,19705,2,11,2,25,3033,19766
Argentina,3,12,12,40,40,0,0,0,0,22,22
Australia,980,1139,17194,16039,1107927,1,82,0,1,927,13669
Austria,8,240,240,421,421,1,1,0,0,221,221
"Bosnia and Herzegovina",52,258,425,3271,5035,2,5,0,0,302,471
"Burkina Faso",8,1204,1204,4434,4434,1,1,0,0,224,224
CANADA,588,1647,13449,5772,98736,4,113,2,55,780,8083
CHILE,128,225987,3139258,3946,15491,15,191,45,616,438,1974
CHINA,52,865,1039,34015,41563,0,0,0,0,111,148
COLOMBIA,4,47,47,44,44,0,0,0,0,190,190
Canada,2052,1334,20419,9993,474793,0,13,0,1,1182,19240
"Cayman Islands",4,104,104,1070,1070,0,0,0,0,159,159
"Central African Republic",20,304,352,868,1161,0,1,0,0,348,502
Chile,32,15972,21169,118344,157589,54,96,0,0,12807,17039
"Congo (The Democratic Republic of the)",4,138672,138672,18006,18006,0,0,0,0,2326,2326
"Costa Rica",4,479,479,513,513,0,0,0,0,1048,1048
DENMARK,4,98,98,105,105,0,0,0,0,136,136
Ecuador,4,202,202,935,935,0,0,0,0,161,161
FRANCE,80,19688,151092,3368,23583,2,10,2,9,3296,4039
France,60,732,2445,6182,17098,6,45,0,0,630,3010
GERMANY,44,24748,135554,3106,14985,4,19,3,19,325,491
GUATEMALA,4,0,0,58,58,0,0,0,0,12,12
Germany,52,793,2776,5444,13596,0,0,0,0,696,2608
Greece,10,787,827,14560,15095,1,2,0,0,1834,1986
HUNGARY,8,82,82,571,571,1,1,0,0,168,168
"Hong Kong",28,389,1110,1439,4801,0,0,0,0,387,924
INDIA,4,1656,1656,18862,18862,8,8,0,0,2126,2126
INDONESIA,20,184,239,1876,4260,0,0,0,0,392,617
IRELAND,1,72,72,145,145,0,0,0,0,153,153
ITALY,24,1885,3008,11132,26333,4,11,0,0,1408,2658
India,24,409,844,52152,107263,4,13,0,0,475,1619
Indonesia,36,478,672,8531,15518,0,1,0,0,382,591
Ireland,72,654,3683,2467,7983,0,1,0,1,760,3673
Israel,12,594,1701,2120,6189,0,0,0,0,738,1990
Italy,16,2893,5608,6356,12214,65,127,0,0,2614,4617
JAMAICA,16,466,953,10635,31159,20,81,0,0,489,653
Jamaica,9,34,34,212,212,0,0,0,0,117,117
Japan,64,317,3906,5486,29194,18,150,0,0,236,2211
KENYA,4,8608,8608,236098,236098,11,11,0,0,2117,2117
Libya,8,485,485,139379,139379,2,2,0,0,1967,1967
MEXICO,48,1044,5734,50500,301975,3,20,0,0,1061,5487
MOZAMBIQUE,28,1199,3179,9004,11539,0,0,0,0,455,937
Malaysia,13,122,286,1772,5422,0,0,0,0,372,668
Mexico,60,2012,7698,5284,32502,0,1,0,0,470,3052
NETHERLANDS,8,1420,1420,1976,1976,0,0,0,0,2061,2061
"NEW ZEALAND",73,390,903,11304,32310,1,3,0,1,422,1034
Netherlands,68,188,1017,4397,24486,2,16,0,0,194,505
"New Zealand",324,326,3328,1293,18642,0,5,0,0,522,1901
Nigeria,4,854,854,266934,266934,0,0,0,0,116,116
Norway,4,262,262,3632,3632,0,0,0,0,53,53
PARAGUAY,4,897,897,7783,7783,0,0,0,0,1076,1076
PERU,8,392,392,2613,2613,0,0,0,0,731,731
POLAND,8,2232,2232,878,878,0,0,0,0,804,804
Peru,4,360,360,10240,10240,0,0,0,0,718,718
Philippines,8,371,663,23950,45997,0,0,0,0,478,863
Portugal,8,69,100,388,389,0,0,0,0,46,68
"Puerto Rico",4,535,535,5317,5317,0,0,0,0,416,416
SINGAPORE,8,199,200,947,1456,0,0,0,0,353,366
"SOUTH AFRICA",16,540,580,1711,1858,0,1,0,0,472,526
"SOUTH KOREA",8,361,649,2110,3197,0,0,0,0,434,575
SPAIN,52,963,3262,9053,27391,30,137,0,0,1076,2833
"Saint Vincent and the Grenadines",96,2058,6695,7562,40528,0,10,0,0,1394,5848
"Saudi Arabia",32,298,377,494,611,70,107,0,0,283,569
Serbia,4,83,83,170,170,0,0,0,0,502,502
"South Africa",92,1872,8973,4833,17246,0,1,0,0,950,3824
Spain,38,8405,15723,26647,118848,5,26,0,0,6099,13917
Sweden,8,30,30,435,435,0,0,0,0,66,66
Switzerland,16,265,265,70,70,0,0,0,0,1184,1184
"The Democratic Republic of the Congo",8,4470,4470,78376,78376,0,0,0,0,1041,1041
"UNITED ARAB EMIRATES",4,275,275,1217,1217,0,0,0,0,142,142
"UNITED KINGDOM",757,1955,38416,12494,394744,1,24,0,3,1543,8460
Uganda,4,19,19,56,56,0,0,0,0,33,33
"United Kingdom",1550,1516,52682,4672,244528,2,113,0,0,884,5324
"United States",12911,4509,1320058,9600,490952,3,1632,0,225,1439,214608
Uruguay,4,244,244,9714,9714,0,0,0,0,285,285
Venezuela,12,779,1044,127104,183642,0,1,0,0,943,1182
"Viet Nam",4,15,15,90,90,0,0,0,0,24,24
Vietnam,8,321,321,20753,20753,0,0,0,0,229,229
argentina,4,130,130,4388,4388,3,3,0,0,97,97
canada,12,1202,1202,4033,4033,0,0,0,0,1041,1041
NULL,6934,4532,924693,23836,3021991,4,190,0,62,1225,98025
